"Ref_genome","Sample1","Sample2","Average_score","Compared_regions"
"E_coli_K-12_MG1655","ASM15512v1","ASM17195v1",0.963328814189415,80
"E_coli_K-12_MG1655","ASM15512v1","ASM2222v1",0.989873336278545,80
"E_coli_K-12_MG1655","ASM15512v1","ASM2516v1",0.965318577325205,80
"E_coli_K-12_MG1655","ASM15512v1","ASM666v1",0.958741894738721,80
"E_coli_K-12_MG1655","ASM15512v1","ASM886v1",0.976662238964811,80
"E_coli_K-12_MG1655","ASM15512v1","SRR10358485",0.827079232440723,80
"E_coli_K-12_MG1655","ASM15512v1","SRR10358486",0.867185161540547,80
"E_coli_K-12_MG1655","ASM15512v1","SRR10358487",0.794532759227489,80
"E_coli_K-12_MG1655","ASM15512v1","SRR10358488",0.79738032381064,80
"E_coli_K-12_MG1655","ASM15512v1","SRR10358489",0.791936581213559,80
"E_coli_K-12_MG1655","ASM15512v1","SRR10358491",0.861001112615992,80
"E_coli_K-12_MG1655","ASM17195v1","ASM2222v1",0.996236039209407,80
"E_coli_K-12_MG1655","ASM17195v1","ASM2516v1",0.986167190197832,80
"E_coli_K-12_MG1655","ASM17195v1","ASM666v1",0.973204157048495,80
"E_coli_K-12_MG1655","ASM17195v1","ASM886v1",0.960504037624227,80
"E_coli_K-12_MG1655","ASM17195v1","SRR10358485",0.813506865594673,80
"E_coli_K-12_MG1655","ASM17195v1","SRR10358486",0.802932204551321,80
"E_coli_K-12_MG1655","ASM17195v1","SRR10358487",0.826574722586663,80
"E_coli_K-12_MG1655","ASM17195v1","SRR10358488",0.819482779372134,80
"E_coli_K-12_MG1655","ASM17195v1","SRR10358489",0.788390632336494,80
"E_coli_K-12_MG1655","ASM17195v1","SRR10358491",0.851071172241532,80
"E_coli_K-12_MG1655","ASM2222v1","ASM2516v1",0.964488420173749,80
"E_coli_K-12_MG1655","ASM2222v1","ASM666v1",0.959766084441077,80
"E_coli_K-12_MG1655","ASM2222v1","ASM886v1",0.98841682632243,80
"E_coli_K-12_MG1655","ASM2222v1","SRR10358485",0.829483371524957,80
"E_coli_K-12_MG1655","ASM2222v1","SRR10358486",0.835744739222215,80
"E_coli_K-12_MG1655","ASM2222v1","SRR10358487",0.857107779476847,80
"E_coli_K-12_MG1655","ASM2222v1","SRR10358488",0.832598055239026,80
"E_coli_K-12_MG1655","ASM2222v1","SRR10358489",0.802553785073375,80
"E_coli_K-12_MG1655","ASM2222v1","SRR10358491",0.827469556700905,80
"E_coli_K-12_MG1655","ASM2516v1","ASM666v1",0.938862064258268,80
"E_coli_K-12_MG1655","ASM2516v1","ASM886v1",0.956087257460527,80
"E_coli_K-12_MG1655","ASM2516v1","SRR10358485",0.808292697566154,80
"E_coli_K-12_MG1655","ASM2516v1","SRR10358486",0.8399433216513,80
"E_coli_K-12_MG1655","ASM2516v1","SRR10358487",0.844705903159027,80
"E_coli_K-12_MG1655","ASM2516v1","SRR10358488",0.873143989608662,80
"E_coli_K-12_MG1655","ASM2516v1","SRR10358489",0.848352997625828,80
"E_coli_K-12_MG1655","ASM2516v1","SRR10358491",0.78102201172882,80
"E_coli_K-12_MG1655","ASM666v1","ASM886v1",0.979844022874809,80
"E_coli_K-12_MG1655","ASM666v1","SRR10358485",0.845086755657493,80
"E_coli_K-12_MG1655","ASM666v1","SRR10358486",0.820525137245963,80
"E_coli_K-12_MG1655","ASM666v1","SRR10358487",0.817864404793169,80
"E_coli_K-12_MG1655","ASM666v1","SRR10358488",0.820389712120433,80
"E_coli_K-12_MG1655","ASM666v1","SRR10358489",0.790715367195732,80
"E_coli_K-12_MG1655","ASM666v1","SRR10358491",0.781072589086273,80
"E_coli_K-12_MG1655","ASM886v1","SRR10358485",0.815679939600322,80
"E_coli_K-12_MG1655","ASM886v1","SRR10358486",0.849499458527195,80
"E_coli_K-12_MG1655","ASM886v1","SRR10358487",0.819689829152822,80
"E_coli_K-12_MG1655","ASM886v1","SRR10358488",0.814258493649461,80
"E_coli_K-12_MG1655","ASM886v1","SRR10358489",0.785301287626576,80
"E_coli_K-12_MG1655","ASM886v1","SRR10358491",0.803670398475183,80
"E_coli_K-12_MG1655","SRR10358485","SRR10358486",0.999906407427027,80
"E_coli_K-12_MG1655","SRR10358485","SRR10358487",0.999758315125118,80
"E_coli_K-12_MG1655","SRR10358485","SRR10358488",0.993807949116866,80
"E_coli_K-12_MG1655","SRR10358485","SRR10358489",0.999916344014839,80
"E_coli_K-12_MG1655","SRR10358485","SRR10358491",0.987702963754227,80
"E_coli_K-12_MG1655","SRR10358486","SRR10358487",1,80
"E_coli_K-12_MG1655","SRR10358486","SRR10358488",0.999984797521111,80
"E_coli_K-12_MG1655","SRR10358486","SRR10358489",0.999998914155207,80
"E_coli_K-12_MG1655","SRR10358486","SRR10358491",0.996140321028084,80
"E_coli_K-12_MG1655","SRR10358487","SRR10358488",0.999948856027256,80
"E_coli_K-12_MG1655","SRR10358487","SRR10358489",0.999998914155207,80
"E_coli_K-12_MG1655","SRR10358487","SRR10358491",0.988533785442598,80
"E_coli_K-12_MG1655","SRR10358488","SRR10358489",0.999981540204053,80
"E_coli_K-12_MG1655","SRR10358488","SRR10358491",0.999849737266641,80
"E_coli_K-12_MG1655","SRR10358489","SRR10358491",0.996178410398034,80
